time,open,high,low,close,volume
2024-09-26 18:00:00,20341.2,20576.2,20274.2,20549.2,4517
2024-09-26 19:00:00,20548.2,20560.2,20447.2,20453.2,3365
2024-09-27 04:00:00,20438.95,20549.2,20283.2,20411.2,16230
2024-09-27 05:00:00,20412.2,20525.7,20307.95,20493.2,18837
2024-09-27 06:00:00,20492.2,20724.2,20456.2,20648.95,14825
2024-09-27 08:00:00,20658.95,20762.2,20310.7,20456.2,21942
2024-09-27 09:00:00,20456.2,20585.7,20416.2,20570.2,16250
2024-09-27 10:00:00,20572.2,20644.7,20535.2,20644.2,11039
2024-09-27 11:00:00,20644.2,20915.2,20638.2,20840.95,5012
2024-09-27 12:00:00,20855.95,20906.2,20696.2,20699.2,4299
2024-09-27 13:00:00,20698.2,20711.2,20536.2,20633.2,4466
2024-09-27 14:00:00,20633.2,20842.2,20633.2,20679.2,3977
2024-09-27 15:00:00,20678.2,20811.2,20584.2,20608.2,5127
2024-09-27 16:00:00,20607.7,20842.2,20555.2,20826.2,8523
2024-09-27 17:00:00,20825.2,20986.2,20819.2,20849.7,10031
2024-09-27 18:00:00,20850.2,20882.2,20758.2,20762.2,6801
2024-09-27 19:00:00,20762.7,20876.7,20734.2,20864.2,4462
2024-09-30 04:00:00,20952.95,21325.7,20839.2,20970.2,19098
2024-09-30 05:00:00,20971.2,21072.2,20881.2,21015.2,22292
2024-09-30 06:00:00,21015.2,21386.2,21007.2,21366.95,17315
2024-09-30 08:00:00,21357.95,21496.2,21187.95,21477.2,20772
2024-09-30 09:00:00,21477.2,21518.2,21184.2,21362.2,17789
2024-09-30 10:00:00,21363.2,21371.2,21045.2,21182.2,12335
2024-09-30 11:00:00,21180.7,21278.2,21109.2,21201.95,5052
2024-09-30 12:00:00,21198.2,21276.2,21104.2,21140.2,3131
2024-09-30 13:00:00,21140.2,21210.2,21098.2,21161.2,3142
2024-09-30 14:00:00,21162.2,21182.2,21033.2,21054.2,3636
2024-09-30 15:00:00,21057.2,21203.2,21055.2,21111.2,3412
2024-09-30 16:00:00,21110.2,21164.2,20877.7,21052.2,8271
2024-09-30 17:00:00,21049.2,21076.2,20906.2,20908.45,7102
2024-09-30 18:00:00,20907.7,20966.2,20636.2,20639.2,7457
2024-09-30 19:00:00,20638.2,20773.2,20636.2,20769.2,5631
2024-10-02 04:00:00,21216.95,21866.95,21139.95,21779.95,17846
2024-10-02 05:00:00,21782.95,22179.7,21755.95,22145.2,19162
2024-10-02 06:00:00,22147.2,22683.2,22142.2,22409.95,18369
2024-10-02 08:00:00,22401.95,22707.2,21990.95,22209.45,19789
2024-10-02 09:00:00,22207.45,22529.45,22089.45,22462.45,15246
2024-10-02 10:00:00,22463.45,22496.45,22254.45,22490.45,12459
2024-10-02 11:00:00,22490.45,22490.45,22287.45,22392.95,5506
2024-10-02 12:00:00,22380.95,22521.2,22347.95,22479.2,4715
2024-10-02 13:00:00,22478.2,22798.2,22412.45,22691.2,6514
2024-10-02 14:00:00,22698.45,22720.45,22525.2,22605.2,5712
2024-10-02 15:00:00,22607.2,22611.2,22355.2,22423.2,4513
2024-10-02 16:00:00,22430.45,22436.95,22156.45,22239.2,9944
2024-10-02 17:00:00,22240.2,22412.2,22085.2,22088.2,8114
2024-10-02 18:00:00,22087.2,22198.2,22050.2,22158.2,6538
2024-10-02 19:00:00,22157.45,22365.2,22145.45,22270.2,4203
2024-10-03 04:00:00,22465.95,22634.7,21849.95,22078.2,15834
2024-10-03 05:00:00,22075.2,22075.2,21616.45,21632.45,16575
2024-10-03 06:00:00,21633.45,21797.2,21478.7,21760.95,12761
2024-10-03 08:00:00,21758.95,22256.95,21752.95,22164.95,16362
2024-10-03 09:00:00,22159.95,22326.95,22094.95,22313.95,10314
2024-10-03 10:00:00,22313.95,22463.7,22086.95,22139.95,11623
2024-10-03 11:00:00,22142.95,22144.95,22026.95,22087.95,3594
2024-10-03 12:00:00,22066.95,22283.2,21962.2,22058.2,4514
2024-10-03 13:00:00,22063.2,22095.2,21877.2,21964.2,4578
2024-10-03 14:00:00,21967.2,22025.2,21916.2,21976.2,2347
2024-10-03 15:00:00,21973.2,22000.2,21704.2,21706.2,2996
2024-10-03 16:00:00,21710.2,22103.2,21594.2,22014.2,7547
2024-10-03 17:00:00,22009.45,22168.2,21899.2,21920.2,9135
2024-10-03 18:00:00,21919.2,22121.2,21913.2,22035.2,6066
